Neighborhood,Id,Estimate; Aggregate household income in the past 12 months (in 2015 Inflation-adjusted dollars),Margin of Error; Aggregate household income in the past 12 months (in 2015 Inflation-adjusted dollars)
0,0,0,8.631.431.016
0,0,0,16399392.03
0,0,0,2914988
0,0,0,26174704.08
0,0,0,1912520
0,0,0,13563882.14
0,0,0,35463932.76
0,0,0,7.125.085.724
0,0,0,4.468.174.859
0,0,0,2.726.332.295
0,0,0,11423844.9
0,0,0,3.363.490.759
0,0,0,12450240.87
0,0,0,15513365.3
0,0,0,9.964.615.088
0,0,0,15557377.68
0,0,0,10291350.2
0,0,0,5776016.68
0,0,0,11202092.89
0,0,0,18596383.52
0,0,0,26611655.18
0,0,0,3748518
0,0,0,3763271
0,0,0,20564747.34
0,0,0,4415906
0,0,0,2398522
0,0,0,4076094
0,0,0,10295987.27
0,0,0,12948264.12
0,0,0,8.757.091.783
0,0,0,30291428.03
0,0,0,9.198.290.554
0,0,0,6.374.407.742
0,0,0,8704589
0,0,0,2639357
0,0,0,62416083.58
0,0,0,11670388.95
0,0,0,10823398.42
0,0,0,0
0,0,0,31279286.86
0,0,0,18884639.17
0,0,0,2.941.611.233
0,0,0,9.345.349.907
0,0,0,66363783.65
0,0,0,57908445.45
0,0,0,1527597
0,0,0,15607513.66
0,0,0,37240188
0,0,0,8808166
0,0,0,4652129
0,0,0,3.672.343.904
0,0,0,22171205.68
0,0,0,12264473.26
0,0,0,16007126
0,0,0,2204875
0,0,0,3.412.753.172
0,0,0,11304497.08
0,0,0,6432817.1
0,0,0,Margin of Error; Aggregate household income in the past 12 months (in 2015 Inflation-adjusted dollars)
0,0,0,6437773
0,0,0,22025939
0,0,0,7.490.207.043
0,0,0,6.140.662.723
0,0,0,1162393
0,0,0,25839798.58
0,0,0,1666825
0,0,0,20558893.78
0,0,0,6.955.896.138
0,0,0,17631530.8
0,0,0,3.053.714.909
0,0,0,4363955
0,0,0,18528009.98
0,0,0,33459110.1
0,0,0,2850114
0,0,0,25358376.69
0,0,0,38813243.08
0,0,0,14971960.03
0,0,0,14187902.91
0,0,0,8.248.328.467
0,0,0,4387080
0,0,0,0
0,0,0,14312490.15
0,0,0,7.964.968.613
0,0,0,18318437.52
0,0,0,9.846.049.456
0,0,0,4062628
0,0,0,7.871.752.465
0,0,0,16575789.33
0,0,0,8.110.202.165
0,0,0,2379084
0,0,0,8418356
0,0,0,7.391.478.933
0,0,0,8.631.431.016
0,0,0,16399392.03
0,0,0,2914988
0,0,0,26174704.08
0,0,0,1912520
0,0,0,13563882.14
0,0,0,35463932.76
0,0,0,7.125.085.724
0,0,0,4.468.174.859
0,0,0,2.726.332.295
0,0,0,11423844.9
0,0,0,3.363.490.759
0,0,0,12450240.87
0,0,0,15513365.3
0,0,0,9.964.615.088
0,0,0,15557377.68
0,0,0,10291350.2
0,0,0,5776016.68
0,0,0,11202092.89
0,0,0,18596383.52
0,0,0,26611655.18
0,0,0,3748518
0,0,0,3763271
0,0,0,20564747.34
0,0,0,4415906
0,0,0,2398522
0,0,0,4076094
0,0,0,10295987.27
0,0,0,12948264.12
0,0,0,8.757.091.783
0,0,0,30291428.03
0,0,0,9.198.290.554
0,0,0,6.374.407.742
0,0,0,8704589
0,0,0,2639357
0,0,0,62416083.58
0,0,0,11670388.95
0,0,0,10823398.42
0,0,0,0
0,0,0,31279286.86
0,0,0,18884639.17
0,0,0,2.941.611.233
0,0,0,9.345.349.907
0,0,0,66363783.65
0,0,0,57908445.45
0,0,0,1527597
0,0,0,15607513.66
0,0,0,37240188
0,0,0,8808166
0,0,0,4652129
0,0,0,3.672.343.904
0,0,0,22171205.68
0,0,0,12264473.26
0,0,0,16007126
0,0,0,2204875
0,0,0,3.412.753.172
0,0,0,11304497.08
0,0,0,6432817.1
0,0,0,Margin of Error; Aggregate household income in the past 12 months (in 2015 Inflation-adjusted dollars)
0,0,0,6437773
0,0,0,22025939
0,0,0,7.490.207.043
0,0,0,6.140.662.723
0,0,0,1162393
0,0,0,25839798.58
0,0,0,1666825
0,0,0,20558893.78
0,0,0,6.955.896.138
0,0,0,17631530.8
0,0,0,3.053.714.909
0,0,0,4363955
0,0,0,18528009.98
0,0,0,33459110.1
0,0,0,2850114
0,0,0,25358376.69
0,0,0,38813243.08
0,0,0,14971960.03
0,0,0,14187902.91
0,0,0,8.248.328.467
0,0,0,4387080
0,0,0,0
0,0,0,14312490.15
0,0,0,7.964.968.613
0,0,0,18318437.52
0,0,0,9.846.049.456
0,0,0,4062628
0,0,0,7.871.752.465
0,0,0,16575789.33
0,0,0,8.110.202.165
0,0,0,2379084
0,0,0,8418356
0,0,0,7.391.478.933
0,0,0,8.631.431.016
0,0,0,16399392.03
0,0,0,2914988
0,0,0,26174704.08
0,0,0,1912520
0,0,0,13563882.14
0,0,0,35463932.76
0,0,0,7.125.085.724
0,0,0,4.468.174.859
0,0,0,2.726.332.295
0,0,0,11423844.9
0,0,0,3.363.490.759
0,0,0,12450240.87
0,0,0,15513365.3
0,0,0,9.964.615.088
0,0,0,15557377.68
0,0,0,10291350.2
0,0,0,5776016.68
0,0,0,11202092.89
0,0,0,18596383.52
0,0,0,26611655.18
0,0,0,3748518
0,0,0,3763271
0,0,0,20564747.34
0,0,0,4415906
0,0,0,2398522
0,0,0,4076094
0,0,0,10295987.27
0,0,0,12948264.12
0,0,0,8.757.091.783
0,0,0,30291428.03
0,0,0,9.198.290.554
0,0,0,6.374.407.742
0,0,0,8704589
0,0,0,2639357
0,0,0,62416083.58
0,0,0,11670388.95
0,0,0,10823398.42
0,0,0,0
0,0,0,31279286.86
0,0,0,18884639.17
0,0,0,2.941.611.233
0,0,0,9.345.349.907
0,0,0,66363783.65
0,0,0,57908445.45
0,0,0,1527597
0,0,0,15607513.66
0,0,0,37240188
0,0,0,8808166
0,0,0,4652129
0,0,0,3.672.343.904
0,0,0,22171205.68
0,0,0,12264473.26
0,0,0,16007126
0,0,0,2204875
0,0,0,3.412.753.172
0,0,0,11304497.08
0,0,0,6432817.1
0,0,0,Margin of Error; Aggregate household income in the past 12 months (in 2015 Inflation-adjusted dollars)
0,0,0,6437773
0,0,0,22025939
0,0,0,7.490.207.043
0,0,0,6.140.662.723
0,0,0,1162393
0,0,0,25839798.58
0,0,0,1666825
0,0,0,20558893.78
0,0,0,6.955.896.138
0,0,0,17631530.8
0,0,0,3.053.714.909
0,0,0,4363955
0,0,0,18528009.98
0,0,0,33459110.1
0,0,0,2850114
0,0,0,25358376.69
0,0,0,38813243.08
0,0,0,14971960.03
0,0,0,14187902.91
0,0,0,8.248.328.467
0,0,0,4387080
0,0,0,0
0,0,0,14312490.15
0,0,0,7.964.968.613
0,0,0,18318437.52
0,0,0,9.846.049.456
0,0,0,4062628
0,0,0,7.871.752.465
0,0,0,16575789.33
0,0,0,8.110.202.165
0,0,0,2379084
0,0,0,8418356
0,0,0,7.391.478.933
0,0,0,8.631.431.016
0,0,0,16399392.03
0,0,0,2914988
0,0,0,26174704.08
0,0,0,1912520
0,0,0,13563882.14
0,0,0,35463932.76
0,0,0,7.125.085.724
0,0,0,4.468.174.859
0,0,0,2.726.332.295
0,0,0,11423844.9
0,0,0,3.363.490.759
0,0,0,12450240.87
0,0,0,15513365.3
0,0,0,9.964.615.088
0,0,0,15557377.68
0,0,0,10291350.2
0,0,0,5776016.68
0,0,0,11202092.89
0,0,0,18596383.52
0,0,0,26611655.18
0,0,0,3748518
0,0,0,3763271
0,0,0,20564747.34
0,0,0,4415906
0,0,0,2398522
0,0,0,4076094
0,0,0,10295987.27
0,0,0,12948264.12
0,0,0,8.757.091.783
0,0,0,30291428.03
0,0,0,9.198.290.554
0,0,0,6.374.407.742
0,0,0,8704589
0,0,0,2639357
0,0,0,62416083.58
0,0,0,11670388.95
0,0,0,10823398.42
0,0,0,0
0,0,0,31279286.86
0,0,0,18884639.17
0,0,0,2.941.611.233
0,0,0,9.345.349.907
0,0,0,66363783.65
0,0,0,57908445.45
0,0,0,1527597
0,0,0,15607513.66
0,0,0,37240188
0,0,0,8808166
0,0,0,4652129
0,0,0,3.672.343.904
0,0,0,22171205.68
0,0,0,12264473.26
0,0,0,16007126
0,0,0,2204875
0,0,0,3.412.753.172
0,0,0,11304497.08
0,0,0,6432817.1
0,0,0,Margin of Error; Aggregate household income in the past 12 months (in 2015 Inflation-adjusted dollars)
0,0,0,6437773
0,0,0,22025939
0,0,0,7.490.207.043
0,0,0,6.140.662.723
0,0,0,1162393
0,0,0,25839798.58
0,0,0,1666825
0,0,0,20558893.78
0,0,0,6.955.896.138
0,0,0,17631530.8
0,0,0,3.053.714.909
0,0,0,4363955
0,0,0,18528009.98
0,0,0,33459110.1
0,0,0,2850114
0,0,0,25358376.69
0,0,0,38813243.08
0,0,0,14971960.03
0,0,0,14187902.91
0,0,0,8.248.328.467
0,0,0,4387080
0,0,0,0
0,0,0,14312490.15
0,0,0,7.964.968.613
0,0,0,18318437.52
0,0,0,9.846.049.456
0,0,0,4062628
0,0,0,7.871.752.465
0,0,0,16575789.33
0,0,0,8.110.202.165
0,0,0,2379084
0,0,0,8418356
0,0,0,7.391.478.933
0,0,0,8.631.431.016
0,0,0,16399392.03
0,0,0,2914988
0,0,0,26174704.08
0,0,0,1912520
0,0,0,13563882.14
0,0,0,35463932.76
0,0,0,7.125.085.724
0,0,0,4.468.174.859
0,0,0,2.726.332.295
0,0,0,11423844.9
0,0,0,3.363.490.759
0,0,0,12450240.87
0,0,0,15513365.3
0,0,0,9.964.615.088
0,0,0,15557377.68
0,0,0,10291350.2
0,0,0,5776016.68
0,0,0,11202092.89
0,0,0,18596383.52
0,0,0,26611655.18
0,0,0,3748518
0,0,0,3763271
0,0,0,20564747.34
0,0,0,4415906
0,0,0,2398522
0,0,0,4076094
0,0,0,10295987.27
0,0,0,12948264.12
0,0,0,8.757.091.783
0,0,0,30291428.03
0,0,0,9.198.290.554
0,0,0,6.374.407.742
0,0,0,8704589
0,0,0,2639357
0,0,0,62416083.58
0,0,0,11670388.95
0,0,0,10823398.42
0,0,0,0
0,0,0,31279286.86
0,0,0,18884639.17
0,0,0,2.941.611.233
0,0,0,9.345.349.907
0,0,0,66363783.65
0,0,0,57908445.45
0,0,0,1527597
0,0,0,15607513.66
0,0,0,37240188
0,0,0,8808166
0,0,0,4652129
0,0,0,3.672.343.904
0,0,0,22171205.68
0,0,0,12264473.26
0,0,0,16007126
0,0,0,2204875
0,0,0,3.412.753.172
0,0,0,11304497.08
0,0,0,6432817.1
0,0,0,Margin of Error; Aggregate household income in the past 12 months (in 2015 Inflation-adjusted dollars)
0,0,0,6437773
0,0,0,22025939
0,0,0,7.490.207.043
0,0,0,6.140.662.723
0,0,0,1162393
0,0,0,25839798.58
0,0,0,1666825
0,0,0,20558893.78
0,0,0,6.955.896.138
0,0,0,17631530.8
0,0,0,3.053.714.909
0,0,0,4363955
0,0,0,18528009.98
0,0,0,33459110.1
0,0,0,2850114
0,0,0,25358376.69
0,0,0,38813243.08
0,0,0,14971960.03
0,0,0,14187902.91
0,0,0,8.248.328.467
0,0,0,4387080
0,0,0,0
0,0,0,14312490.15
0,0,0,7.964.968.613
0,0,0,18318437.52
0,0,0,9.846.049.456
0,0,0,4062628
0,0,0,7.871.752.465
0,0,0,16575789.33
0,0,0,8.110.202.165
0,0,0,2379084
0,0,0,8418356
0,0,0,7.391.478.933
0,0,0,8.631.431.016
0,0,0,16399392.03
0,0,0,2914988
0,0,0,26174704.08
0,0,0,1912520
0,0,0,13563882.14
0,0,0,35463932.76
0,0,0,7.125.085.724
0,0,0,4.468.174.859
0,0,0,2.726.332.295
0,0,0,11423844.9
0,0,0,3.363.490.759
0,0,0,12450240.87
0,0,0,15513365.3
0,0,0,9.964.615.088
0,0,0,15557377.68
0,0,0,10291350.2
0,0,0,5776016.68
0,0,0,11202092.89
0,0,0,18596383.52
0,0,0,26611655.18
0,0,0,3748518
0,0,0,3763271
0,0,0,20564747.34
0,0,0,4415906
0,0,0,2398522
0,0,0,4076094
0,0,0,10295987.27
0,0,0,12948264.12
0,0,0,8.757.091.783
0,0,0,30291428.03
0,0,0,9.198.290.554
0,0,0,6.374.407.742
0,0,0,8704589
0,0,0,2639357
0,0,0,62416083.58
0,0,0,11670388.95
0,0,0,10823398.42
0,0,0,0
0,0,0,31279286.86
0,0,0,18884639.17
0,0,0,2.941.611.233
0,0,0,9.345.349.907
0,0,0,66363783.65
0,0,0,57908445.45
0,0,0,1527597
0,0,0,15607513.66
0,0,0,37240188
0,0,0,8808166
0,0,0,4652129
0,0,0,3.672.343.904
0,0,0,22171205.68
0,0,0,12264473.26
0,0,0,16007126
0,0,0,2204875
0,0,0,3.412.753.172
0,0,0,11304497.08
0,0,0,6432817.1
0,0,0,Margin of Error; Aggregate household income in the past 12 months (in 2015 Inflation-adjusted dollars)
0,0,0,6437773
0,0,0,22025939
0,0,0,7.490.207.043
0,0,0,6.140.662.723
0,0,0,1162393
0,0,0,25839798.58
0,0,0,1666825
0,0,0,20558893.78
0,0,0,6.955.896.138
0,0,0,17631530.8
0,0,0,3.053.714.909
0,0,0,4363955
0,0,0,18528009.98
0,0,0,33459110.1
0,0,0,2850114
0,0,0,25358376.69
0,0,0,38813243.08
0,0,0,14971960.03
0,0,0,14187902.91
0,0,0,8.248.328.467
0,0,0,4387080
0,0,0,0
0,0,0,14312490.15
0,0,0,7.964.968.613
0,0,0,18318437.52
0,0,0,9.846.049.456
0,0,0,4062628
0,0,0,7.871.752.465
0,0,0,16575789.33
0,0,0,8.110.202.165
0,0,0,2379084
0,0,0,8418356
0,0,0,7.391.478.933
0,0,0,8.631.431.016
0,0,0,16399392.03
0,0,0,2914988
0,0,0,26174704.08
0,0,0,1912520
0,0,0,13563882.14
0,0,0,35463932.76
0,0,0,7.125.085.724
0,0,0,4.468.174.859
0,0,0,2.726.332.295
0,0,0,11423844.9
0,0,0,3.363.490.759
0,0,0,12450240.87
0,0,0,15513365.3
0,0,0,9.964.615.088
0,0,0,15557377.68
0,0,0,10291350.2
0,0,0,5776016.68
0,0,0,11202092.89
0,0,0,18596383.52
0,0,0,26611655.18
0,0,0,3748518
0,0,0,3763271
0,0,0,20564747.34
0,0,0,4415906
0,0,0,2398522
0,0,0,4076094
0,0,0,10295987.27
0,0,0,12948264.12
0,0,0,8.757.091.783
0,0,0,30291428.03
0,0,0,9.198.290.554
0,0,0,6.374.407.742
0,0,0,8704589
0,0,0,2639357
0,0,0,62416083.58
0,0,0,11670388.95
0,0,0,10823398.42
0,0,0,0
0,0,0,31279286.86
0,0,0,18884639.17
0,0,0,2.941.611.233
0,0,0,9.345.349.907
0,0,0,66363783.65
0,0,0,57908445.45
0,0,0,1527597
0,0,0,15607513.66
0,0,0,37240188
0,0,0,8808166
0,0,0,4652129
0,0,0,3.672.343.904
0,0,0,22171205.68
0,0,0,12264473.26
0,0,0,16007126
0,0,0,2204875
0,0,0,3.412.753.172
0,0,0,11304497.08
0,0,0,6432817.1
0,0,0,Margin of Error; Aggregate household income in the past 12 months (in 2015 Inflation-adjusted dollars)
0,0,0,6437773
0,0,0,22025939
0,0,0,7.490.207.043
0,0,0,6.140.662.723
0,0,0,1162393
0,0,0,25839798.58
0,0,0,1666825
0,0,0,20558893.78
0,0,0,6.955.896.138
0,0,0,17631530.8
0,0,0,3.053.714.909
0,0,0,4363955
0,0,0,18528009.98
0,0,0,33459110.1
0,0,0,2850114
0,0,0,25358376.69
0,0,0,38813243.08
0,0,0,14971960.03
0,0,0,14187902.91
0,0,0,8.248.328.467
0,0,0,4387080
0,0,0,0
0,0,0,14312490.15
0,0,0,7.964.968.613
0,0,0,18318437.52
0,0,0,9.846.049.456
0,0,0,4062628
0,0,0,7.871.752.465
0,0,0,16575789.33
0,0,0,8.110.202.165
0,0,0,2379084
0,0,0,8418356
0,0,0,7.391.478.933
0,0,0,8.631.431.016
0,0,0,16399392.03
0,0,0,2914988
0,0,0,26174704.08
0,0,0,1912520
0,0,0,13563882.14
0,0,0,35463932.76
0,0,0,7.125.085.724
0,0,0,4.468.174.859
0,0,0,2.726.332.295
0,0,0,11423844.9
0,0,0,3.363.490.759
0,0,0,12450240.87
0,0,0,15513365.3
0,0,0,9.964.615.088
0,0,0,15557377.68
0,0,0,10291350.2
0,0,0,5776016.68
0,0,0,11202092.89
0,0,0,18596383.52
0,0,0,26611655.18
0,0,0,3748518
0,0,0,3763271
0,0,0,20564747.34
0,0,0,4415906
0,0,0,2398522
0,0,0,4076094
0,0,0,10295987.27
0,0,0,12948264.12
0,0,0,8.757.091.783
0,0,0,30291428.03
0,0,0,9.198.290.554
0,0,0,6.374.407.742
0,0,0,8704589
0,0,0,2639357
0,0,0,62416083.58
0,0,0,11670388.95
0,0,0,10823398.42
0,0,0,0
0,0,0,31279286.86
0,0,0,18884639.17
0,0,0,2.941.611.233
0,0,0,9.345.349.907
0,0,0,66363783.65
0,0,0,57908445.45
0,0,0,1527597
0,0,0,15607513.66
0,0,0,37240188
0,0,0,8808166
0,0,0,4652129
0,0,0,3.672.343.904
0,0,0,22171205.68
0,0,0,12264473.26
0,0,0,16007126
0,0,0,2204875
0,0,0,3.412.753.172
0,0,0,11304497.08
0,0,0,6432817.1
0,0,0,Margin of Error; Aggregate household income in the past 12 months (in 2015 Inflation-adjusted dollars)
0,0,0,6437773
0,0,0,22025939
0,0,0,7.490.207.043
0,0,0,6.140.662.723
0,0,0,1162393
0,0,0,25839798.58
0,0,0,1666825
0,0,0,20558893.78
0,0,0,6.955.896.138
0,0,0,17631530.8
0,0,0,3.053.714.909
0,0,0,4363955
0,0,0,18528009.98
0,0,0,33459110.1
0,0,0,2850114
0,0,0,25358376.69
0,0,0,38813243.08
0,0,0,14971960.03
0,0,0,14187902.91
0,0,0,8.248.328.467
0,0,0,4387080
0,0,0,0
0,0,0,14312490.15
0,0,0,7.964.968.613
0,0,0,18318437.52
0,0,0,9.846.049.456
0,0,0,4062628
0,0,0,7.871.752.465
0,0,0,16575789.33
0,0,0,8.110.202.165
0,0,0,2379084
0,0,0,8418356
0,0,0,7.391.478.933
0,0,0,8.631.431.016
0,0,0,16399392.03
0,0,0,2914988
0,0,0,26174704.08
0,0,0,1912520
0,0,0,13563882.14
0,0,0,35463932.76
0,0,0,7.125.085.724
0,0,0,4.468.174.859
0,0,0,2.726.332.295
0,0,0,11423844.9
0,0,0,3.363.490.759
0,0,0,12450240.87
0,0,0,15513365.3
0,0,0,9.964.615.088
0,0,0,15557377.68
0,0,0,10291350.2
0,0,0,5776016.68
0,0,0,11202092.89
0,0,0,18596383.52
0,0,0,26611655.18
0,0,0,3748518
0,0,0,3763271
0,0,0,20564747.34
0,0,0,4415906
0,0,0,2398522
0,0,0,4076094
0,0,0,10295987.27
0,0,0,12948264.12
0,0,0,8.757.091.783
0,0,0,30291428.03
0,0,0,9.198.290.554
0,0,0,6.374.407.742
0,0,0,8704589
0,0,0,2639357
0,0,0,62416083.58
0,0,0,11670388.95
0,0,0,10823398.42
0,0,0,0
0,0,0,31279286.86
0,0,0,18884639.17
0,0,0,2.941.611.233
0,0,0,9.345.349.907
0,0,0,66363783.65
0,0,0,57908445.45
0,0,0,1527597
0,0,0,15607513.66
0,0,0,37240188
0,0,0,8808166
0,0,0,4652129
0,0,0,3.672.343.904
0,0,0,22171205.68
0,0,0,12264473.26
0,0,0,16007126
0,0,0,2204875
0,0,0,3.412.753.172
0,0,0,11304497.08
0,0,0,6432817.1
